date,temp_avg,temp_min,temp_max,niederschlag_mm,sonnenstunden
2026-02-20,2.8,-1.9,7.0,1.1,0.0
2026-02-21,9.0,6.9,10.7,9.5,0.0
2026-02-22,11.2,9.5,13.1,9.3,0.0
2026-02-23,9.8,7.1,12.8,3.7,0.383
2026-02-24,10.0,8.1,12.1,0.1,0.0
2026-02-25,12.0,9.2,16.1,0.0,6.733
2026-02-26,12.1,7.6,18.8,0.0,9.083
2026-02-27,14.2,9.1,20.4,0.0,9.2
2026-02-28,11.6,4.2,15.8,0.0,1.517
2026-03-01,8.1,2.3,14.4,0.0,8.45
2026-03-02,10.2,3.6,16.7,0.0,9.9
2026-03-03,10.6,2.1,18.7,0.0,9.917
2026-03-04,9.4,-0.4,18.2,0.0,9.967
2026-03-05,11.6,6.8,17.9,0.0,10.083
2026-03-06,11.4,5.5,18.9,0.0,7.65
2026-03-07,9.8,1.7,18.6,0.0,7.167
2026-03-08,10.6,0.3,19.6,0.0,9.833
2026-03-09,10.2,1.4,18.8,0.0,9.3
2026-03-10,10.6,3.0,17.4,1.9,2.017
2026-03-11,9.6,4.5,12.1,9.6,0.0
2026-03-12,7.6,2.4,12.6,0.0,8.1
2026-03-13,8.2,3.9,11.9,16.2,0.633
2026-03-14,3.6,1.8,5.1,1.5,0.0
2026-03-15,5.6,2.3,10.0,2.8,5.517
2026-03-16,6.6,2.8,10.6,2.3,4.183
2026-03-17,9.2,5.9,13.1,0.0,0.4
2026-03-18,10.1,4.4,15.6,0.0,11.017
2026-03-19,10.2,0.9,17.9,0.0,11.033
2026-03-20,8.3,-1.0,16.0,0.0,5.333
2026-03-21,8.9,1.1,15.3,0.0,7.083
2026-03-22,9.3,2.1,16.2,0.0,10.133
2026-03-23,9.3,0.5,16.9,0.0,9.283
2026-03-24,10.8,0.6,18.5,0.0,5.167
2026-03-25,7.7,2.9,12.9,3.7,1.25
